Region,District,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Min Price,Wheat Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
Arusha,Arusha (Urban),49000,50000,140000,200000,65000,70000,65000,70000,130000,135000,80000,85000,140000,170000,50000,55000
D'Salaam,Temeke (Tandika),49000,47000,130000,220000,70000,100000,100000,80000,150000,180000,120000,130000,190000,240000,65000,65000
Dodoma,Majengo,48000,44000,135000,165000,50000,60000,50000,45000,121000,139000,NA,NA,185000,215000,48000,59000
Dodoma,Kibaigwa,43000,40000,NA,NA,40000,45000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kagera,Bukoba,65000,60000,130000,170000,80000,120000,100000,120000,160000,180000,150000,170000,110000,150000,60000,50000
Kigoma,Kigoma,47300,47200,120000,120000,80000,80000,50000,70000,180000,150000,150000,140000,130000,150000,70000,80000
Iringa,Iringa,33000,33000,130000,200000,100000,100000,NA,NA,180000,150000,150000,140000,130000,150000,45000,45000
Manyara,Babati,60000,60000,130000,180000,60000,80000,100000,180000,120000,130000,150000,162000,70000,90000,NA,NA
Mara,Musoma,50000,65000,100000,110000,60000,65000,80000,200000,180000,200000,190000,200000,70000,95000,130000,NA
Morogoro,Morogoro,47656,46875,170000,180000,120000,120000,120000,120000,180000,180000,170000,170000,180000,180000,78000,80000
Mtwara,Mtwara,40000,45000,150000,170000,60000,60000,NA,NA,180000,180000,NA,NA,165000,170000,50000,55000
Mwanza,Mwanza,60000,68000,110000,250000,180000,200000,180000,200000,200000,200000,NA,NA,180000,180000,85000,85000
Njombe,Njombe,42000,38000,180000,100000,NA,NA,NA,NA,150000,140000,170000,165000,145000,200000,45500,75000
Rukwa,Sumbawanga,30000,36000,250000,120000,NA,NA,NA,NA,150000,80000,150000,145000,180000,75000,40000,70000
Ruvuma,Songea,27000,30000,150000,200000,NA,NA,NA,NA,NA,NA,NA,NA,140000,150000,73000,75000
Shinyanga,Shinyanga,46000,42000,110000,140000,120000,130000,130000,120000,130000,140000,120000,130000,170000,180000,90000,80000
Tabora,Tabora,42000,41000,95000,110000,140000,150000,NA,NA,170000,180000,NA,NA,160000,180000,60000,70000
Tanga,Tanga,50925,50925,140000,160000,80000,90000,100000,100000,160000,180000,120000,130000,170000,180000,50000,50000
