Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Min Price,Wheat Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
2021-11-29,Arusha,Arusha (Urban),50000,52000,130000,200000,65000,70000,70000,65000,125000,127000,80000,82000,135000,170000,65000,60000
2021-11-29,D'Salaam,Kinondoni (Tandale),53000,65000,130000,200000,75000,75000,70000,70000,160000,160000,120000,130000,240000,280000,55000,60000
2021-11-29,Dodoma,Majengo,46000,52000,180000,140000,50000,60000,47000,54000,122000,140000,NA,NA,185000,225000,57000,47000
2021-11-29,Dodoma,Kibaigwa,44000,46000,NA,NA,43000,45000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-11-29,Iringa,Iringa,33000,33000,120000,200000,100000,120000,NA,NA,150000,150000,150000,150000,150000,170000,50000,50000
2021-11-29,Kagera,Bukoba,60000,65000,170000,132000,80000,120000,120000,100000,160000,180000,150000,170000,115000,150000,50000,60000
2021-11-29,Katavi,Mpanda,36000,60000,100000,140000,180000,120000,NA,NA,120000,120000,NA,NA,NA,NA,50000,65000
2021-11-29,Kilimanjaro,Moshi,54000,60000,200000,160000,200000,120000,120000,140000,200000,180000,NA,140000,160000,170000,70000,70000
2021-11-29,Lindi,Lindi,70000,100000,200000,130000,150000,200000,250000,200000,200000,180000,140000,160000,180000,200000,100000,120000
2021-11-29,Manyara,Babati,48000,60000,130000,180000,60000,60000,60000,80000,160000,140000,120000,130000,150000,190000,70000,70000
2021-11-29,Mara,Musoma,60000,65000,120000,110000,80000,65000,80000,200000,180000,NA,NA,168000,200000,90000,95000
2021-11-29,Morogoro,Morogoro,46875,48438,180000,160000,150000,150000,150000,150000,160000,160000,150000,150000,190000,195000,80000,81000
2021-11-29,Mtwara,Mtwara,45000,62000,150000,170000,80000,170000,NA,200000,180000,NA,NA,165000,175000,65000,70000
2021-11-29,Mwanza,Mwanza,45000,68000,250000,140000,80000,200000,200000,180000,200000,NA,NA,170000,280000,90000,85000
2021-11-29,Njombe,Njombe,50000,50000,250000,200000,NA,NA,NA,150000,170000,145000,150000,150000,200000,60000,50000
2021-11-29,Rukwa,Sumbawanga,40000,45000,120000,140000,NA,NA,NA,160000,145000,75000,90000,140000,180000,55000,70000
2021-11-29,Shinyanga,Shinyanga,44000,46000,130000,140000,120000,130000,120000,120000,130000,120000,130000,180000,190000,85000,80000
2021-11-29,Tabora,Tabora,52000,53703,130000,110000,140000,90000,170000,170000,180000,NA,NA,160000,180000,70000,80000
2021-11-29,Tanga,Tanga,54000,55555,160000,140000,150000,100000,180000,80000,80000,120000,130000,200000,200000,65000,65000
