Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
Arusha,Arusha,78000,79000,190000,250000,65000,70000,68000,70000,139000,140000,148000,150000,150000,190000,90000,85000
D'Salaam,Kinondoni (Tandale),80000,80000,260000,200000,110000,150000,90000,110000,175000,175000,220000,260000,200000,280000,60000,58000
D'Salaam,Ilala,70000,75000,170000,250000,NA,NA,NA,NA,NA,NA,NA,NA,200000,240000,66000,66000
Dodoma,Majengo,76500,79000,210000,190000,60000,78000,63000,70000,143000,155000,168000,178000,186000,215000,69500,84000
Iringa,Iringa,62000,65000,220000,170000,150000,150000,200000,200000,180000,180000,200000,200000,170000,190000,55000,55000
Kagera,Bukoba,80000,82000,170000,210000,130000,140000,160000,170000,160000,180000,200000,220000,160000,180000,65000,75000
Katavi,Mpanda,42000,52000,190000,150000,180000,200000,NA,NA,180000,200000,NA,NA,165000,170000,55000,60000
Kigoma,Kigoma,63888,66666,170000,200000,150000,150000,100000,120000,150000,150000,200000,200000,170000,180000,90000,80000
Lindi,Lindi,60000,100000,180000,270000,90000,200000,180000,250000,200000,270000,NA,NA,170000,280000,65000,95000
Manyara,Babati,65000,84000,190000,220000,100000,120000,80000,100000,150000,160000,220000,230000,150000,180000,80000,80000
Mara,Musoma,70000,75000,180000,160000,70000,75000,220000,250000,220000,250000,200000,220000,200000,220000,90000,110000
Mbeya,Mbeya,72000,72000,210000,250000,NA,NA,NA,NA,132000,132000,128000,128000,192000,192000,42000,42000
Morogoro,Morogoro,62500,62500,230000,200000,170000,180000,170000,180000,175000,180000,170000,180000,195000,220000,95000,100000
Njombe,Njombe,60000,72000,200000,250000,NA,NA,NA,NA,200000,220000,200000,200000,150000,220000,46000,50500
Rukwa,Sumbawanga,45000,65000,170000,140000,NA,NA,NA,NA,160000,180000,140000,150000,135000,180000,65000,75000
Ruvuma,Songea,50000,52000,170000,210000,NA,NA,NA,NA,NA,NA,NA,NA,160000,180000,80000,75000
Tabora,Tabora,58000,60000,190000,160000,NA,NA,NA,NA,NA,NA,190000,200000,180000,200000,NA,NA
Tanga,Tanga,71000,72000,190000,220000,100000,100000,100000,100000,185000,190000,180000,190000,179000,189000,65000,65000
