Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Millet Min Price,Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
22 JUNI, 2022,Arusha,Arusha,105000,110000,200000,250000,65000,70000,68000,70000,135000,120000,140000,150000,165000,230000,90000,85000
22 JUNI, 2022,Dar es Saalam,Kinondoni,90000,120000,190000,240000,110000,130000,90000,110000,150000,170000,220000,240000,200000,240000,90000,85000
22 JUNI, 2022,Dodoma,Kibaigwa,82000,82000,220000,220000,60000,60000,NA,NA,NA,NA,NA,NA,200000,200000,NA,NA
22 JUNI, 2022,Dodoma,Majengo,78500,85000,200000,240000,58000,70000,70000,82000,150000,140000,182000,182400,195000,220000,85500,65500
22 JUNI, 2022,Iringa,Iringa,65000,75000,170000,200000,150000,150000,200000,200000,180000,180000,200000,200000,170000,190000,70000,70000
22 JUNI, 2022,Kagera,Bukoba,86000,90000,170000,210000,120000,130000,130000,150000,170000,160000,200000,220000,100000,150000,75000,65000
22 JUNI, 2022,Mara,Musoma,110000,120000,180000,200000,110000,120000,NA,NA,NA,NA,NA,NA,180000,200000,120000,100000
22 JUNI, 2022,Manyara,Manyara,78000,90000,200000,240000,100000,120000,80000,100000,160000,150000,220000,230000,222000,240000,100000,100000
22 JUNI, 2022,Mwanza,Mwanza,110000,120000,200000,280000,150000,180000,150000,180000,200000,180000,NA,NA,NA,NA,90000,80000
22 JUNI, 2022,Rukwa,Sumbawanga,65000,70000,130000,170000,NA,NA,NA,NA,200000,200000,185000,200000,135000,160000,75000,60000
22 JUNI, 2022,Ruvuma,Songea,52000,55000,160000,200000,NA,NA,NA,NA,NA,NA,NA,NA,150000,180000,75000,72000
22 JUNI, 2022,Tabora,Tabora,72000,74000,190000,220000,140000,150000,NA,NA,190000,180000,NA,NA,200000,220000,90000,100000
22 JUNI, 2022,Tanga,Tanga,94000,95000,200000,210000,99500,100000,99500,100000,160000,155000,197000,200000,198000,200000,91000,90000
