Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
04 JULAI, 2022,Arusha,Arusha,90000,95000,200000,250000,80000,80000,80000,80000,120000,135000,135000,140000,165000,230000,85000,80000
04 JULAI, 2022,Dar es Salaam,Kinondoni,90000,110000,200000,240000,100000,120000,90000,95000,150000,170000,180000,220000,220000,240000,85000,90000
04 JULAI, 2022,Dodoma,Majengo,95000,98000,200000,250000,70000,72000,85000,90000,145000,155000,NA,NA,198000,220000,65500,83000
04 JULAI, 2022,Dodoma,Kibaigwa,85000,86000,200000,220000,55000,60000,NA,NA,NA,NA,NA,NA,200000,200000,NA,NA
04 JULAI, 2022,Iringa,Iringa,80000,80000,170000,200000,140000,140000,180000,180000,170000,170000,200000,200000,170000,190000,90000,90000
04 JULAI, 2022,Kagera,Bukoba,108000,115000,180000,210000,160000,170000,140000,150000,160000,170000,200000,220000,130000,150000,65000,70000
04 JULAI, 2022,Katavi,Mpanda,85000,90000,170000,200000,NA,NA,NA,NA,NA,NA,NA,NA,165000,200000,65000,50000
04 JULAI, 2022,Lindi,Lindi,70000,70000,195000,250000,180000,200000,NA,NA,200000,200000,NA,NA,200000,200000,90000,90000
04 JULAI, 2022,Manyara,Babati,85000,90000,200000,240000,100000,120000,90000,100000,120000,140000,180000,200000,180000,210000,95000,95000
04 JULAI, 2022,Mara,Musoma,100000,110000,160000,170000,110000,120000,140000,160000,140000,160000,NA,NA,140000,150000,120000,100000
04 JULAI, 2022,Shinyanga,Shinyanga,95000,95000,190000,190000,NA,NA,90000,90000,180000,180000,170000,170000,180000,180000,70000,70000
04 JULAI, 2022,Morogoro,Morogoro,82000,82000,220000,230000,150000,150000,150000,150000,190000,190000,200000,220000,200000,200000,85000,80000
04 JULAI, 2022,Mtwara,Mtwara,68000,69000,180000,220000,90000,100000,NA,NA,180000,180000,NA,NA,195000,200000,NA,NA
04 JULAI, 2022,Mwanza,Mkoa,110000,120000,200000,290000,150000,180000,150000,200000,180000,200000,NA,NA,195000,250000,90000,85000
04 JULAI, 2022,Njombe,Njombe,62000,72000,200000,250000,NA,NA,NA,NA,200000,220000,180000,200000,150000,200000,50000,45000
04 JULAI, 2022,Rukwa,Sumbawanga,62000,65000,125000,160000,NA,NA,NA,NA,140000,150000,160000,175000,135000,160000,75000,60000
04 JULAI, 2022,Ruvuma,Songea,55000,60000,180000,220000,NA,NA,NA,NA,NA,NA,NA,NA,160000,180000,75000,75000
04 JULAI, 2022,Tanga,Tanga,99500,100000,218000,210000,99500,100000,99000,100000,145000,158000,199000,200000,199500,200000,96000,95000
04 JULAI, 2022,Tabora,Tabora,78000,80000,190000,220000,140000,150000,NA,NA,180000,190000,NA,NA,200000,220000,90000,100000
