Region,District/Market,Maize_MinPrice,Maize_MaxPrice,Rice_MinPrice,Rice_MaxPrice,Sorghum_MaxPrice,BulrushMillet_MinPrice,BulrushMillet_MaxPrice,FingerMillet_MinPrice,FingerMillet_MaxPrice,WheatGrain_MinPrice,WheatGrain_MaxPrice,Beans_MinPrice,Beans_MaxPrice,IrishPotatoes_MinPrice,IrishPotatoes_MaxPrice
Arusha,Arusha,95000,97000,200000,250000,75000,70000,75000,120000,125000,NA,NA,150000,200000,NA,NA
Dodoma,Majengo,88000,91000,215000,255000,70000,58000,90000,139000,150000,180000,182400,195000,225000,65500,85000
Iringa,Iringa,70000,70000,170000,210000,100000,100000,150000,180000,200000,180000,220000,85000,85000,150000,150000
Kagera,Bukoba,110000,114000,180000,230000,150000,130000,150000,220000,240000,180000,220000,70000,85000,150000,160000
Kigoma,Kigoma,89000,94000,175000,200000,100000,100000,90000,200000,200000,180000,180000,85000,95000,150000,150000
Mara,Musoma,105000,115000,170000,180000,125000,115000,140000,NA,NA,140000,150000,100000,120000,150000,160000
Mtwara,Mtwara,78000,78000,200000,280000,100000,100000,NA,NA,NA,NA,NA,NA,195000,200000
Mwanza,Mwanza,102500,105000,190000,280000,150000,180000,150000,180000,200000,NA,NA,210000,260000,75000,80000
Rukwa,Sumbawanga,65000,70000,140000,160000,NA,NA,NA,140000,170000,155000,170000,175000,190000,85000,90000
Ruvuma,Songea,60000,62000,180000,220000,NA,NA,NA,NA,NA,NA,NA,NA,NA,70000,80000
Tabora,Tabora,82000,83000,190000,220000,150000,140000,NA,170000,200000,NA,NA,210000,220000,80000,85000
,,,,,NA,NA,180000,190000,NA,NA,NA,NA,90000,100000
