Date,Region,District,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
2022-10-19,Arusha,Arusha,98000,100000,230000,300000,80000,82000,80000,85000,120000,125000,150000,130000,230000,290000,90000,85000
2022-10-19,"Dar es Salaam",Tandika,110000,120000,200000,300000,100000,120000,110000,120000,170000,180000,220000,200000,280000,320000,NA,NA
2022-10-19,Dodoma,Majengo,100000,110000,268000,320000,60000,75000,79000,82000,128000,140000,180000,182000,210000,290000,90000,70000
2022-10-19,Iringa,Iringa,80000,85000,290000,300000,130000,130000,180000,180000,170000,170000,200000,180000,210000,300000,60000,60000
2022-10-19,Katavi,Mpanda,95000,98000,200000,210000,NA,NA,NA,NA,NA,NA,NA,NA,235000,250000,65000,65000
2022-10-19,Kigoma,Kigoma,100000,100000,200000,230000,130000,130000,100000,100000,130000,130000,180000,180000,240000,240000,80000,80000
2022-10-19,Kilimanjaro,Kilimanjaro,120000,120000,280000,350000,NA,NA,NA,NA,NA,NA,NA,NA,300000,300000,95000,95000
2022-10-19,Lindi,Lindi,100000,120000,240000,300000,100000,120000,NA,NA,180000,200000,NA,NA,260000,300000,100000,120000
2022-10-19,Manyara,Babati,108000,120000,270000,320000,70000,90000,90000,110000,120000,140000,180000,210000,240000,270000,90000,80000
2022-10-19,Mtwara,Mtwara,85000,86000,240000,260000,100000,100000,NA,NA,180000,180000,NA,NA,270000,280000,75000,80000
2022-10-19,Mwanza,Mwanza,135000,145000,250000,350000,180000,200000,NA,NA,NA,NA,NA,NA,199000,300000,70000
2022-10-19,Rukwa,Sumbawanga,85000,86000,190000,200000,NA,NA,NA,NA,NA,NA,NA,NA,210000,240000,......
2022-10-19,Ruvuma,Songea,72000,78000,180000,300000,140000,150000,NA,NA,180000,200000,NA,NA,290000,360000,120000
2022-10-19,Tabora,Tabora,108000,118000,240000,260000,99000,180000,NA,NA,200000,NA,NA,NA,300000,100000
2022-10-19,Tanga,Tanga,112000,276000,200000,200000,261000,275500,NA,NA,NA,NA,NA,NA,261000,275500,76500
