Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price,Sorghum Min Price,Sorghum Max Price
Dar es saalam,Ilala,75000,80000,220000,330000,NA,NA,NA,NA,NA,NA,NA,NA,300000,330000,64000,64000
Dar es saalam,Temeke,80000,90000,220000,280000,130000,140000,130000,140000,140000,200000,NA,NA,280000,350000,100000,100000
Kilimanjaro,Moshi,65000,65000,220000,220000,NA,NA,NA,NA,180000,180000,200000,200000,280000,280000,85000,85000
Singida,Singida,65000,70000,180000,350000,55000,120000,60000,65000,100000,120000,NA,NA,230000,320000,85000,95000
Arusha,Arusha,62000,65000,260000,300000,70000,75000,75000,80000,100000,120000,NA,NA,200000,240000,70000,75000
Dodoma,Majengo,63000,68000,230000,300000,85000,110000,68000,90000,115000,125000,NA,NA,260000,295000,75000,94000
Morogoro,Morogoro,89000,90000,240000,280000,120000,140000,100000,100000,130000,150000,230000,235000,250000,260000,61100,72200
Mtwara,Mtwara Dc,85000,90000,250000,330000,150000,150000,150000,150000,100000,100000,180000,180000,320000,320000,40000,40000
Lindi,Lindi Mc,90000,100000,200000,300000,250000,300000,NA,NA,180000,200000,NA,NA,280000,300000,70000,75000
Iringa,Iringa,50000,55000,200000,300000,120000,150000,180000,180000,140000,160000,NA,NA,200000,270000,50000,55000
Tanga,Tanga,110000,110000,250000,250000,120000,120000,120000,120000,150000,150000,NA,NA,250000,250000,70000,70000
Tabora,Tabora,78000,82000,200000,280000,150000,160000,180000,190000,180000,190000,NA,NA,260000,300000,100000,101000
Geita,Geita,92500,92500,220000,220000,240000,240000,220000,220000,260000,260000,190000,190000,330000,330000,95000,95000
Kagera,Bukoba,85000,90000,210000,350000,160000,180000,160000,180000,150000,170000,200000,220000,200000,250000,65000,85000
Katavi,Mpimbwe,75000,75000,250000,250000,45000,45000,NA,NA,120000,120000,280000,280000,250000,250000,NA,NA
Manyara,Manyara,80000,102000,250000,300000,80000,90000,90000,120000,90000,120000,130000,150000,240000,270000,90000,90000
Mbeya,Mbeya,80000,80000,270000,270000,200000,200000,200000,200000,200000,200000,200000,200000,250000,250000,80000,80000
Ruvuma,Songea,55000,60000,280000,320000,60000,60000,NA,NA,80000,80000,NA,NA,280000,300000,94000,94000
Shinyanga,Shinyanga,72000,84000,220000,300000,70000,150000,70000,200000,120000,170000,NA,NA,240000,280000,75000,80000
Mwanza,Mwanza,80000,90000,220000,260000,130000,180000,130000,180000,130000,180000,NA,NA,230000,240000,80000,90000
Pwani,Pwani,110000,114000,200000,280000,NA,NA,82000,83000,83000,85000,NA,NA,300000,320000,90000,93000
Simiyu,Bariadi TC,71000,72000,190000,200000,100000,110000,190000,200000,190000,200000,250000,250000,250000,260000,85000,85000
Kigoma,Kigoma,72200,77700,200000,250000,100000,150000,200000,200000,200000,200000,180000,350000,200000,220000,80000,80000
Rukwa,Sumbawanga,55000,60000,190000,220000,NA,NA,NA,NA,180000,200000,NA,NA,90000,165000,75000,75000
