Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Finger Millet Min Price,Finger Millet Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
Dar es saalam,Ilala,53000,55000,170000,250000,NA,NA,NA,NA,NA,NA,NA,NA,280000,300000,80000,85000
Dar es saalam,Temeke,52000,54000,220000,280000,130000,140000,120000,130000,170000,180000,170000,170000,290000,320000,115000,120000
es saalam,Tandale,100000,100000,280000,300000,110000,110000,100000,100000,170000,170000,150000,150000,280000,300000,90000,90000
es saalam,Ubungo,NA,NA,210000,280000,NA,NA,NA,NA,NA,NA,NA,NA,240000,270000,65000,80000
Kilimanjaro,Moshi,60000,60000,200000,200000,NA,NA,NA,NA,NA,NA,NA,NA,200000,250000,90000,90000
Dar es saalam,Mwananyamala,90000,100000,180000,300000,100000,120000,110000,110000,180000,180000,150000,150000,320000,360000,80000,85000
Singida,Namfua,60000,70000,180000,350000,80000,120000,80000,120000,95000,120000,180000,300000,200000,300000,80000,95000
Arusha,Kilombero,52000,65000,180000,250000,70000,75000,85000,90000,114000,115000,95000,100000,200000,270000,80000,90000
Dodoma,Majengo,45000,50000,200000,300000,50000,55000,40000,45000,140000,150000,NA,NA,280000,320000,84000,95000
Morogoro,Morogoro,46875,57843,280000,280000,120000,130000,120000,135000,140000,150000,180000,200000,350000,350000,68200,71100
Mtwara,Mtwara Dc,75000,75000,300000,300000,200000,200000,75000,75000,200000,200000,75000,75000,320000,320000,75000,85000
Lindi,Lindi mjin,80000,90000,150000,350000,200000,280000,280000,300000,180000,200000,350000,400000,280000,320000,85000,90000
Iringa,Iringa,50000,55000,160000,260000,130000,150000,150000,180000,130000,150000,170000,200000,200000,250000,65000,70000
Mara,Musoma,54000,56000,180000,190000,180000,200000,180000,200000,180000,200000,240000,253300,250000,300000,130000,140000
Tanga,Mgandini,100000,100000,180000,180000,180000,180000,200000,200000,200000,200000,NA,NA,230000,230000,140000,140000
Songwe,Songwe,38800,50000,175000,190000,150000,150000,NA,NA,150000,150000,200000,200000,200000,200000,150000,150000
Tabora,Tabora,58000,60000,160000,240000,145000,150000,180000,190000,185000,190000,NA,NA,240000,260000,90000,100000
Geita,Nyankumbu,65000,65000,140000,140000,170000,170000,170000,170000,170000,170000,190000,190000,330000,330000,120000,120000
Kagera,Bukoba,48000,52000,140000,280000,160000,170000,160000,180000,160000,170000,180000,210000,150000,250000,70000,90000
Katavi,Majengo,35000,35000,240000,240000,200000,200000,NA,NA,200000,200000,NA,NA,240000,240000,150000,150000
Manyara,BabatiTC,42000,66000,180000,300000,120000,180000,130000,180000,140000,180000,150000,190000,210000,240000,95000,95000
Mbeya,Igawilo/Soweto,55000,55000,220000,220000,125000,125000,125000,125000,120000,120000,125000,125000,223000,223000,70000,70000
Ruvuma,Songea,33000,50000,250000,290000,NA,NA,NA,NA,NA,NA,NA,NA,280000,320000,78000,80000
Shinyanga,Shinyanga,50000,50000,120000,160000,90000,100000,70000,80000,160000,160000,240000,240000,280000,300000,110000,120000
Mwanza,Mwanza,70000,75000,220000,250000,120000,160000,120000,150000,140000,170000,NA,NA,230000,250000,100000,100000
Pwani,Pwani,80000,80000,180000,240000,160000,160000,160000,160000,200000,200000,200000,200000,300000,330000,200000,200000
Simiyu,Bariadi TC,56000,56000,140000,140000,100000,100000,180000,200000,180000,200000,230000,250000,280000,300000,150000,150000
Kigoma,Kigoma,44400,50000,150000,200000,100000,100000,100000,100000,200000,130000,250000,250000,300000,290000,110000,110000
Rukwa,Sumbawanga,45000,60000,160000,240000,NA,NA,NA,NA,100000,140000,85000,100000,200000,270000,50000,75000
