Region,District/Market,Maize_Min_Price,Maize_Max_Price,Finger_Millet_Min_Price,Finger_Millet_Max_Price,Rice_Min_Price,Rice_Max_Price,Sorghum_Min_Price,Sorghum_Max_Price,Bulrush_Millet_Min_Price,Bulrush_Millet_Max_Price,Wheat_Grain_Min_Price,Wheat_Grain_Max_Price,Beans_Min_Price,Beans_Max_Price,Irish_Potatoes_Min_Price,Irish_Potatoes_Max_Price
Dar es saalam,Ilala,53000,55000,170000,250000,NA,NA,NA,NA,NA,NA,NA,NA,280000,300000,80000,85000
Dar es saalam,Tandika,50000,52000,150000,280000,130000,140000,120000,130000,170000,180000,170000,180000,320000,390000,95000,100000
Dar es saalam,Temeke,52000,54000,220000,300000,130000,140000,120000,130000,170000,180000,170000,180000,290000,320000,115000,120000
Dar es saalam,Tandale,100000,100000,280000,300000,110000,110000,100000,100000,170000,170000,150000,150000,280000,300000,90000,90000
Dar es saalam,Ubungo,NA,NA,210000,280000,NA,NA,NA,NA,NA,NA,NA,NA,240000,270000,65000,80000
Dar es saalam,Mwananyamala,100000,100000,170000,300000,100000,100000,100000,100000,180000,180000,150000,150000,320000,360000,80000,85000
Kilimanjaro,Moshi,60000,60000,200000,200000,NA,NA,150000,150000,200000,200000,200000,200000,200000,250000,90000,90000
Singida,Namfua,60000,70000,180000,350000,80000,120000,80000,120000,95000,120000,180000,300000,200000,300000,80000,95000
Arusha,Kilombero,52000,65000,180000,250000,70000,75000,85000,90000,114000,115000,95000,100000,165000,320000,90000,100000
Dodoma,Majengo,45000,50000,160000,300000,50000,55000,40000,45000,140000,150000,NA,NA,280000,320000,82000,95000
Morogoro,Morogoro,46875,57843,280000,280000,120000,130000,120000,135000,140000,150000,180000,200000,300000,300000,84400,86700
Mtwara,Mtwara Dc,75000,75000,300000,300000,200000,200000,75000,75000,200000,200000,75000,75000,320000,320000,75000,85000
Lindi,Lindi mjin,70000,85000,150000,350000,200000,280000,280000,300000,180000,200000,350000,400000,320000,340000,85000,90000
Iringa,Iringa,50000,50000,160000,260000,130000,150000,150000,180000,130000,150000,170000,200000,200000,250000,65000,70000
Mara,Musoma,54000,56000,180000,190000,180000,180000,180000,200000,180000,200000,200000,240000,NA,253300,NA,NA
Tanga,Mgandini,100000,100000,180000,180000,180000,180000,200000,200000,200000,200000,200000,230000,250000,300000,230000,130000
Songwe,Songwe,41600,45000,165000,175000,150000,150000,NA,NA,200000,200000,200000,200000,200000,200000,150000,150000
Tabora,Tabora,58000,60000,160000,240000,145000,150000,180000,190000,185000,190000,NA,NA,240000,260000,90000,100000
Geita,Nyankumbu,65000,65000,140000,140000,170000,170000,170000,170000,170000,170000,190000,190000,330000,330000,120000,120000
Kagera,Bukoba,52000,55000,140000,280000,150000,150000,150000,160000,140000,160000,180000,200000,140000,250000,75000,90000
Katavi,Majengo,35000,35000,240000,240000,200000,200000,NA,NA,200000,200000,NA,NA,240000,240000,150000,150000
Manyara,BabatiTC,45000,72000,160000,280000,120000,180000,130000,140000,150000,180000,210000,240000,100000,110000,70000,70000
Mbeya,Igawilo/Soweto,55000,55000,221000,221000,125000,125000,125000,120000,120000,125000,221000,223000,70000,70000
Ruvuma,Songea,35000,50000,260000,290000,NA,NA,NA,NA,NA,NA,NA,NA,280000,310000,76000,82000
Shinyanga,Shinyanga,50000,50000,130000,160000,80000,90000,70000,80000,150000,150000,250000,250000,235000,280000,110000,110000
Mwanza,Mwanza,70000,75000,220000,250000,120000,160000,120000,150000,140000,170000,NA,NA,230000,250000,100000,100000
Pwani,Mnalani,80000,80000,160000,240000,150000,150000,150000,150000,200000,200000,240000,240000,280000,320000,180000,180000
Simiyu,Bariadi TC,54000,54000,120000,120000,120000,180000,180000,180000,180000,230000,290000,290000,150000,150000
Kigoma,Kigoma,44400,50000,150000,170000,100000,100000,100000,130000,130000,200000,220000,220000,95000,120000
Rukwa,Sumbawanga,45000,60000,150000,200000,NA,NA,NA,NA,100000,140000,75000,100000,170000,210000,50000,75000
