Date,Region,District,Maize_MinPrice,Maize_MaxPrice,Rice_MinPrice,Rice_MaxPrice,Sorghum_MinPrice,Sorghum_MaxPrice,BulrushMillet_MinPrice,BulrushMillet_MaxPrice,FingerMillet_MinPrice,FingerMillet_MaxPrice,WheatGrain_MinPrice,WheatGrain_MaxPrice,Beans_MinPrice,Beans_MaxPrice,IrishPotatoes_MinPrice,IrishPotatoes_MaxPrice
02 Septemba, 2024,Dar es saalam,Ilala,53000,55000,170000,250000,NA,NA,NA,NA,NA,NA,NA,NA,280000,300000,80000,85000
02 Septemba, 2024,Dar es saalam,Tandika,50000,52000,150000,280000,130000,140000,120000,130000,170000,180000,170000,180000,320000,390000,95000,100000
02 Septemba, 2024,Dar es saalam,Temeke,58000,80000,160000,180000,210000,250000,250000,280000,250000,280000,250000,340000,90000,110000,90000,150000
02 Septemba, 2024,Dar es saalam,Tandale,100000,90000,180000,90000,NA,NA,NA,NA,NA,NA,NA,NA,65000,90000,NA,NA
02 Septemba, 2024,Dar es saalam,Ubungo,NA,100000,210000,90000,90000,90000,90000,90000,NA,NA,NA,NA,76000,65000,NA,NA
02 Septemba, 2024,Dar es saalam,Mwananyamala,90000,100000,250000,140000,NA,NA,NA,NA,NA,NA,NA,NA,150000,NA,NA,NA
02 Septemba, 2024,Kilimanjaro,Moshi,60000,100000,280000,200000,140000,170000,120000,140000,90000,120000,NA,NA,95000,260000,90000,300000
02 Septemba, 2024,Singida,Namfua,60000,70000,180000,350000,80000,120000,80000,120000,95000,120000,180000,300000,200000,300000,80000,120000
02 Septemba, 2024,Arusha,Kilombero,58000,62000,180000,250000,70000,75000,80000,85000,130000,135000,95000,100000,160000,250000,115000,90000
02 Septemba, 2024,Dodoma,Majengo,50000,55000,140000,230000,53000,60000,45000,50000,160000,190000,NA,NA,260000,300000,80000,77700
02 Septemba, 2024,Morogoro,Morogoro,53125,53125,150000,180000,120000,130000,120000,130000,140000,150000,120000,120000,280000,290000,74400,100000
02 Septemba, 2024,Mtwara,Mtwara Dc,57000,70000,150000,280000,220000,220000,200000,200000,200000,200000,200000,300000,270000,300000,100000,NA
02 Septemba, 2024,Lindi,Lindi mjini,57000,70000,145000,280000,200000,300000,200000,400000,250000,400000,300000,400000,250000,270000,90000,NA
02 Septemba, 2024,Iringa,Iringa,46000,47000,130000,200000,130000,150000,130000,150000,140000,180000,150000,170000,230000,270000,75000,70000
02 Septemba, 2024,Mara,Musoma,63000,65000,140000,150000,150000,180000,180000,180000,150000,180000,230000,230000,200000,280000,150000,130000
02 Septemba, 2024,Tanga,Mgandini,100000,100000,160000,160000,120000,120000,200000,200000,200000,200000,200000,200000,240000,240000,110000,110000
02 Septemba, 2024,Songwe,Songwe,41600,45000,165000,175000,150000,150000,NA,NA,200000,200000,200000,200000,200000,200000,150000,150000
02 Septemba, 2024,Tabora,Tabora,60000,60000,120000,150000,170000,180000,180000,190000,180000,190000,NA,NA,280000,290000,95000,90000
02 Septemba, 2024,Geita,Nyankumbu,65000,65000,170000,170000,175000,175000,225000,225000,220000,220000,220000,220000,330000,330000,128000,128000
02 Septemba, 2024,Kagera,Bukoba,65000,72000,140000,300000,130000,140000,130000,150000,170000,180000,180000,190000,180000,250000,95000,80000
02 Septemba, 2024,Katavi,Majengo,50000,50000,260000,260000,200000,200000,NA,NA,200000,200000,NA,NA,270000,270000,115000,150000
02 Septemba, 2024,Manyara,BabatiTC,54000,66000,170000,280000,120000,130000,120000,130000,120000,130000,150000,160000,170000,210000,100000,115000
02 Septemba, 2024,Mbeya,Igawilo/Soweto,50000,50000,155000,160000,200000,200000,150000,150000,180000,180000,140000,140000,220000,220000,80000,100000
02 Septemba, 2024,Ruvuma,Songea,40000,70000,200000,280000,50000,55000,NA,NA,60000,80000,NA,NA,220000,260000,100000,72000
02 Septemba, 2024,Shinyanga,Shinyanga,65000,70000,130000,155000,150000,150000,100000,100000,200000,200000,230000,250000,230000,250000,100000,100000
02 Septemba, 2024,Mwanza,Mwanza,70000,70000,150000,210000,130000,160000,110000,150000,140000,180000,NA,NA,270000,270000,180000,100000
02 Septemba, 2024,Pwani,Mnalani,100000,100000,150000,240000,150000,150000,160000,160000,200000,200000,200000,200000,280000,300000,150000,160000
02 Septemba, 2024,Simiyu,Bariadi TC,70000,70000,140000,150000,130000,150000,170000,180000,170000,180000,250000,250000,270000,280000,100000,150000
02 Septemba, 2024,Kigoma,Kigoma,72200,77700,130000,160000,120000,120000,200000,200000,200000,220000,200000,200000,260000,260000,75000,80000
02 Septemba, 2024,Rukwa,Sumbawanga,45000,55000,120000,160000,NA,NA,NA,NA,75000,120000,65000,75000,175000,290000,55000,NA
